entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parcours_professionnel_for_value;field_parcours_professionnel_for_format
node;imprimeur_lithographe;0;10410;10410;und;0;prote;plain_text
node;imprimeur_lithographe;0;10411;10411;und;0;écrivain lithographe;plain_text
node;imprimeur_lithographe;0;10412;10412;und;0;interprète;plain_text
node;imprimeur_lithographe;0;10413;10413;und;0;commis chez un papetier;plain_text
node;imprimeur_lithographe;0;10415;10415;und;0;professeur de mathématiques;plain_text
node;imprimeur_lithographe;0;10418;10418;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10419;10419;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10421;10421;und;0;brigadier;plain_text
node;imprimeur_lithographe;0;10422;10422;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10423;10423;und;0;papetier;plain_text
node;imprimeur_lithographe;0;10424;10424;und;0;Professeur de Mnémotechnie;plain_text
node;imprimeur_lithographe;0;10425;10425;und;0;Papetier;plain_text
node;imprimeur_lithographe;0;10427;10427;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10431;10431;und;0;Graveur sur métaux;plain_text
node;imprimeur_lithographe;0;10434;10434;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10436;10436;und;0;artiste lithographe;plain_text
node;imprimeur_lithographe;0;10437;10437;und;0;ouvrier lithographe;plain_text
node;imprimeur_lithographe;0;10439;10439;und;0;ouvrier imprimeur;plain_text
node;imprimeur_lithographe;0;10440;10440;und;0;Marchand papetier;plain_text
node;imprimeur_lithographe;0;10441;10441;und;0;imprimeur en taille-douce;plain_text
node;imprimeur_lithographe;0;10442;10442;und;0;commis;plain_text
