entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_naissance_value
node;imprimeur_lithographe;0;22655;22655;und;0;1796-09-24 00:00:00
node;imprimeur_lithographe;0;22656;22656;und;0;1834-03-26 00:00:00
node;imprimeur_lithographe;0;22657;22657;und;0;1826-06-26 00:00:00
node;imprimeur_lithographe;0;22658;22658;und;0;1805-03-19 00:00:00
node;imprimeur_lithographe;0;22659;22659;und;0;1810-05-04 00:00:00
node;imprimeur_lithographe;0;22660;22660;und;0;1824-07-19 00:00:00
node;imprimeur_lithographe;0;22661;22661;und;0;1834-09-16 00:00:00
node;imprimeur_lithographe;0;22662;22662;und;0;1793-09-09 00:00:00
node;imprimeur_lithographe;0;22663;22663;und;0;1823-05-28 00:00:00
node;imprimeur_lithographe;0;22664;22664;und;0;1816-08-27 00:00:00
node;imprimeur_lithographe;0;22665;22665;und;0;1848-04-21 00:00:00
node;imprimeur_lithographe;0;22666;22666;und;0;1795-06-05 00:00:00
node;imprimeur_lithographe;0;22669;22669;und;0;1803-11-08 00:00:00
node;imprimeur_lithographe;0;22670;22670;und;0;1838-03-12 00:00:00
node;imprimeur_lithographe;0;22671;22671;und;0;1817-06-02 00:00:00
node;imprimeur_lithographe;0;22672;22672;und;0;1834-11-24 00:00:00
node;imprimeur_lithographe;0;22674;22674;und;0;1841-03-28 00:00:00
node;imprimeur_lithographe;0;22675;22675;und;0;1803-09-04 00:00:00
node;imprimeur_lithographe;0;22677;22677;und;0;1806-04-13 00:00:00
node;imprimeur_lithographe;0;22678;22678;und;0;1820-01-25 00:00:00
node;imprimeur_lithographe;0;22679;22679;und;0;1831-11-23 00:00:00
node;imprimeur_lithographe;0;22680;22680;und;0;1827-05-04 00:00:00
node;imprimeur_lithographe;0;22681;22681;und;0;1811-09-25 00:00:00
node;imprimeur_lithographe;0;22682;22682;und;0;1839-10-01 00:00:00
node;imprimeur_lithographe;0;22683;22683;und;0;1812-09-03 00:00:00
node;imprimeur_lithographe;0;22684;22684;und;0;1803-07-27 00:00:00
node;imprimeur_lithographe;0;22685;22685;und;0;1803-06-29 00:00:00
node;imprimeur_lithographe;0;22686;22686;und;0;1844-06-13 00:00:00
node;imprimeur_lithographe;0;22687;22687;und;0;1812-11-27 00:00:00
node;imprimeur_lithographe;0;22688;22688;und;0;1805-10-27 00:00:00
node;imprimeur_lithographe;0;22689;22689;und;0;1813-04-16 00:00:00
node;imprimeur_lithographe;0;22691;22691;und;0;1833-06-05 00:00:00
node;imprimeur_lithographe;0;22692;22692;und;0;1799-07-11 00:00:00
node;imprimeur_lithographe;0;22693;22693;und;0;1826-07-01 00:00:00
node;imprimeur_lithographe;0;22694;22694;und;0;1814-05-04 00:00:00
node;imprimeur_lithographe;0;22695;22695;und;0;1785-10-16 00:00:00
node;imprimeur_lithographe;0;22696;22696;und;0;1814-05-18 00:00:00
node;imprimeur_lithographe;0;22697;22697;und;0;1811-11-04 00:00:00
node;imprimeur_lithographe;0;22698;22698;und;0;1812-12-08 00:00:00
