entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_ville_value;field_ville_format
node;imprimeur_lithographe;0;22193;22193;und;0;Paris;
node;imprimeur_lithographe;0;22194;22194;und;0;Paris;
node;imprimeur_lithographe;0;22195;22195;und;0;Paris;
node;imprimeur_lithographe;0;22196;22196;und;0;Paris;
node;imprimeur_lithographe;0;22197;22197;und;0;Paris;
node;imprimeur_lithographe;0;22198;22198;und;0;Paris;
node;imprimeur_lithographe;0;22199;22199;und;0;Paris;
node;imprimeur_lithographe;0;22200;22200;und;0;Paris;
node;imprimeur_lithographe;0;22201;22201;und;0;Paris;
node;imprimeur_lithographe;0;22202;22202;und;0;Paris;
node;imprimeur_lithographe;0;22203;22203;und;0;Paris;
node;imprimeur_lithographe;0;22204;22204;und;0;Paris;
node;imprimeur_lithographe;0;22205;22205;und;0;Paris;
node;imprimeur_lithographe;0;22206;22206;und;0;Paris;
node;imprimeur_lithographe;0;22207;22207;und;0;Paris;
node;imprimeur_lithographe;0;22208;22208;und;0;Paris;
