entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_date_de_fin_du_brevet_value
node;imprimeur_lithographe;0;21867;21867;und;0;1855-07-23 00:00:00
node;imprimeur_lithographe;0;21868;21868;und;0;1861-08-29 00:00:00
node;imprimeur_lithographe;0;21869;21869;und;0;1853-04-25 00:00:00
node;imprimeur_lithographe;0;21870;21870;und;0;1847-11-26 00:00:00
node;imprimeur_lithographe;0;21872;21872;und;0;1829-07-03 00:00:00
node;imprimeur_lithographe;0;21874;21874;und;0;1852-12-20 00:00:00
node;imprimeur_lithographe;0;21876;21876;und;0;1857-04-06 00:00:00
node;imprimeur_lithographe;0;21879;21879;und;0;1861-05-04 00:00:00
node;imprimeur_lithographe;0;21880;21880;und;0;1857-09-30 00:00:00
node;imprimeur_lithographe;0;21881;21881;und;0;1865-05-19 00:00:00
node;imprimeur_lithographe;0;21882;21882;und;0;1856-07-25 00:00:00
node;imprimeur_lithographe;0;21883;21883;und;0;1869-01-23 00:00:00
node;imprimeur_lithographe;0;21884;21884;und;0;1853-07-16 00:00:00
node;imprimeur_lithographe;0;21885;21885;und;0;1856-06-07 00:00:00
node;imprimeur_lithographe;0;21886;21886;und;0;1853-12-12 00:00:00
node;imprimeur_lithographe;0;21887;21887;und;0;1854-10-05 00:00:00
node;imprimeur_lithographe;0;21889;21889;und;0;1859-08-23 00:00:00
node;imprimeur_lithographe;0;21891;21891;und;0;1854-08-29 00:00:00
node;imprimeur_lithographe;0;21892;21892;und;0;1877-12-30 00:00:00
node;imprimeur_lithographe;0;21895;21895;und;0;1862-07-23 00:00:00
node;imprimeur_lithographe;0;21896;21896;und;0;1855-02-03 00:00:00
node;imprimeur_lithographe;0;21897;21897;und;0;1859-03-09 00:00:00
node;imprimeur_lithographe;0;21898;21898;und;0;1855-02-18 00:00:00
node;imprimeur_lithographe;0;21900;21900;und;0;1869-11-04 00:00:00
node;imprimeur_lithographe;0;21901;21901;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;21902;21902;und;0;1868-07-22 00:00:00
node;imprimeur_lithographe;0;21903;21903;und;0;1856-01-05 00:00:00
node;imprimeur_lithographe;0;21905;21905;und;0;1874-07-21 00:00:00
node;imprimeur_lithographe;0;21906;21906;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;21908;21908;und;0;1851-05-26 00:00:00
node;imprimeur_lithographe;0;21910;21910;und;0;1865-03-27 00:00:00
node;imprimeur_lithographe;0;21911;21911;und;0;1853-09-17 00:00:00
node;imprimeur_lithographe;0;21912;21912;und;0;1856-07-25 00:00:00
node;imprimeur_lithographe;0;21913;21913;und;0;1865-02-24 00:00:00
node;imprimeur_lithographe;0;21914;21914;und;0;1851-05-30 00:00:00
node;imprimeur_lithographe;0;21915;21915;und;0;1859-01-11 00:00:00
node;imprimeur_lithographe;0;21916;21916;und;0;1856-10-25 00:00:00
node;imprimeur_lithographe;0;21918;21918;und;0;1859-05-19 00:00:00
node;imprimeur_lithographe;0;21919;21919;und;0;1846-11-06 00:00:00
node;imprimeur_lithographe;0;21920;21920;und;0;1855-08-14 00:00:00
node;imprimeur_lithographe;0;21922;21922;und;0;1857-06-17 00:00:00
node;imprimeur_lithographe;0;21923;21923;und;0;1852-07-20 00:00:00
node;imprimeur_lithographe;0;21924;21924;und;0;1855-05-22 00:00:00
node;imprimeur_lithographe;0;21926;21926;und;0;1855-11-16 00:00:00
node;imprimeur_lithographe;0;21927;21927;und;0;1868-07-29 00:00:00
node;imprimeur_lithographe;0;21928;21928;und;0;1852-04-19 00:00:00
node;imprimeur_lithographe;0;21929;21929;und;0;1869-06-23 00:00:00
node;imprimeur_lithographe;0;21930;21930;und;0;1851-01-24 00:00:00
node;imprimeur_lithographe;0;21931;21931;und;0;1855-06-27 00:00:00
node;imprimeur_lithographe;0;21932;21932;und;0;1865-07-08 00:00:00
node;imprimeur_lithographe;0;21933;21933;und;0;1873-04-26 00:00:00
node;imprimeur_lithographe;0;21934;21934;und;0;1850-10-03 00:00:00
node;imprimeur_lithographe;0;21935;21935;und;0;1862-11-28 00:00:00
node;imprimeur_lithographe;0;21937;21937;und;0;1873-02-14 00:00:00
node;imprimeur_lithographe;0;21938;21938;und;0;1868-09-16 00:00:00
node;imprimeur_lithographe;0;21940;21940;und;0;1856-02-12 00:00:00
node;imprimeur_lithographe;0;21941;21941;und;0;1860-04-13 00:00:00
node;imprimeur_lithographe;0;21942;21942;und;0;1827-06-26 00:00:00
node;imprimeur_lithographe;0;21943;21943;und;0;1875-12-30 00:00:00
node;imprimeur_lithographe;0;21944;21944;und;0;1823-10-14 00:00:00
node;imprimeur_lithographe;0;21945;21945;und;0;1854-03-13 00:00:00
node;imprimeur_lithographe;0;21946;21946;und;0;1856-05-06 00:00:00
node;imprimeur_lithographe;0;21948;21948;und;0;1838-08-03 00:00:00
node;imprimeur_lithographe;0;21950;21950;und;0;1828-02-28 00:00:00
node;imprimeur_lithographe;0;21952;21952;und;0;1854-11-27 00:00:00
node;imprimeur_lithographe;0;21954;21954;und;0;1857-05-11 00:00:00
node;imprimeur_lithographe;0;21955;21955;und;0;1841-09-17 00:00:00
node;imprimeur_lithographe;0;21956;21956;und;0;1835-11-20 00:00:00
node;imprimeur_lithographe;0;21958;21958;und;0;1870-05-24 00:00:00
node;imprimeur_lithographe;0;21959;21959;und;0;1868-01-21 00:00:00
node;imprimeur_lithographe;0;21960;21960;und;0;1853-04-25 00:00:00
node;imprimeur_lithographe;0;21962;21962;und;0;1847-12-24 00:00:00
node;imprimeur_lithographe;0;21963;21963;und;0;1850-11-29 00:00:00
node;imprimeur_lithographe;0;21964;21964;und;0;1859-08-22 00:00:00
node;imprimeur_lithographe;0;21965;21965;und;0;1858-08-31 00:00:00
node;imprimeur_lithographe;0;21966;21966;und;0;1851-07-04 00:00:00
node;imprimeur_lithographe;0;21967;21967;und;0;1854-11-27 00:00:00
node;imprimeur_lithographe;0;21969;21969;und;0;1866-09-27 00:00:00
node;imprimeur_lithographe;0;21970;21970;und;0;1857-07-13 00:00:00
node;imprimeur_lithographe;0;21972;21972;und;0;1864-07-13 00:00:00
node;imprimeur_lithographe;0;21974;21974;und;0;1859-02-08 00:00:00
node;imprimeur_lithographe;0;21975;21975;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;21976;21976;und;0;1851-07-01 00:00:00
node;imprimeur_lithographe;0;21977;21977;und;0;1861-04-23 00:00:00
node;imprimeur_lithographe;0;21978;21978;und;0;1854-03-13 00:00:00
node;imprimeur_lithographe;0;21982;21982;und;0;1851-10-03 00:00:00
node;imprimeur_lithographe;0;21984;21984;und;0;1856-07-25 00:00:00
node;imprimeur_lithographe;0;21985;21985;und;0;1847-05-03 00:00:00
node;imprimeur_lithographe;0;21986;21986;und;0;1853-09-29 00:00:00
node;imprimeur_lithographe;0;21987;21987;und;0;1860-12-14 00:00:00
node;imprimeur_lithographe;0;21988;21988;und;0;1865-12-26 00:00:00
node;imprimeur_lithographe;0;21991;21991;und;0;1866-04-16 00:00:00
node;imprimeur_lithographe;0;21992;21992;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;21994;21994;und;0;1852-04-19 00:00:00
node;imprimeur_lithographe;0;21998;21998;und;0;1850-11-18 00:00:00
node;imprimeur_lithographe;0;22000;22000;und;0;1867-04-25 00:00:00
node;imprimeur_lithographe;0;22001;22001;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;22003;22003;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;22005;22005;und;0;1864-08-31 00:00:00
node;imprimeur_lithographe;0;22006;22006;und;0;1858-05-04 00:00:00
node;imprimeur_lithographe;0;22007;22007;und;0;1870-07-08 00:00:00
node;imprimeur_lithographe;0;22008;22008;und;0;1845-12-04 00:00:00
node;imprimeur_lithographe;0;22009;22009;und;0;1834-09-09 00:00:00
node;imprimeur_lithographe;0;22010;22010;und;0;1853-12-19 00:00:00
node;imprimeur_lithographe;0;22011;22011;und;0;1851-06-27 00:00:00
node;imprimeur_lithographe;0;22013;22013;und;0;1853-10-10 00:00:00
node;imprimeur_lithographe;0;22016;22016;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;22017;22017;und;0;1858-04-23 00:00:00
node;imprimeur_lithographe;0;22018;22018;und;0;1855-08-17 00:00:00
node;imprimeur_lithographe;0;22019;22019;und;0;1867-04-04 00:00:00
node;imprimeur_lithographe;0;22020;22020;und;0;1864-09-20 00:00:00
node;imprimeur_lithographe;0;22022;22022;und;0;1857-10-21 00:00:00
node;imprimeur_lithographe;0;22023;22023;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;22025;22025;und;0;1862-03-01 00:00:00
node;imprimeur_lithographe;0;22026;22026;und;0;1858-03-30 00:00:00
node;imprimeur_lithographe;0;22027;22027;und;0;1854-11-27 00:00:00
node;imprimeur_lithographe;0;22028;22028;und;0;1854-11-27 00:00:00
node;imprimeur_lithographe;0;22030;22030;und;0;1860-07-04 00:00:00
node;imprimeur_lithographe;0;22032;22032;und;0;1865-12-04 00:00:00
node;imprimeur_lithographe;0;22035;22035;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;22036;22036;und;0;1864-06-30 00:00:00
node;imprimeur_lithographe;0;22039;22039;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;22040;22040;und;0;1864-09-20 00:00:00
node;imprimeur_lithographe;0;22041;22041;und;0;1840-10-12 00:00:00
node;imprimeur_lithographe;0;22044;22044;und;0;1865-07-20 00:00:00
node;imprimeur_lithographe;0;22045;22045;und;0;1865-09-14 00:00:00
node;imprimeur_lithographe;0;22046;22046;und;0;1855-11-16 00:00:00
node;imprimeur_lithographe;0;22047;22047;und;0;1862-06-18 00:00:00
node;imprimeur_lithographe;0;22048;22048;und;0;1829-03-17 00:00:00
node;imprimeur_lithographe;0;22049;22049;und;0;1855-04-03 00:00:00
node;imprimeur_lithographe;0;22050;22050;und;0;1852-10-26 00:00:00
node;imprimeur_lithographe;0;22052;22052;und;0;1853-03-16 00:00:00
node;imprimeur_lithographe;0;22053;22053;und;0;1856-02-18 00:00:00
node;imprimeur_lithographe;0;22054;22054;und;0;1836-08-05 00:00:00
node;imprimeur_lithographe;0;22055;22055;und;0;1854-04-25 00:00:00
node;imprimeur_lithographe;0;22057;22057;und;0;1854-04-26 00:00:00
node;imprimeur_lithographe;0;22060;22060;und;0;1876-01-28 00:00:00
node;imprimeur_lithographe;0;22061;22061;und;0;1850-10-24 00:00:00
node;imprimeur_lithographe;0;22064;22064;und;0;1863-04-30 00:00:00
node;imprimeur_lithographe;0;22066;22066;und;0;1865-09-29 00:00:00
node;imprimeur_lithographe;0;22067;22067;und;0;1847-06-25 00:00:00
node;imprimeur_lithographe;0;22069;22069;und;0;1874-06-12 00:00:00
node;imprimeur_lithographe;0;22071;22071;und;0;1860-05-03 00:00:00
