entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_illustration_fid;field_illustration_alt;field_illustration_title;field_illustration_width;field_illustration_height
node;imprimeur_lithographe;0;23786;23786;und;0;1178;"";Carte publicitaire. Coll.particulière.;1452;1740
node;imprimeur_lithographe;0;23789;23789;und;0;1196;"";Facture. Coll. particulière.;2185;1133
node;imprimeur_lithographe;0;23792;23792;und;0;1176;"";Étiquette sur registre. Coll. particulière.;1218;848
node;imprimeur_lithographe;0;23884;23884;und;0;2044;"";Imprimerie Clarey-Martineau, 1852. (Arch. municip. Tours);1905;1294
node;imprimeur_lithographe;0;24009;24009;und;0;1287;"";Galerie armoricaine. A. D. Loire-atlantique, 9 Fi Guérande 4;431;598
node;imprimeur_lithographe;0;24025;24025;und;0;629;"";Arch. nat.;1687;1761
node;imprimeur_lithographe;0;24075;24075;und;0;215;"";Gallica, Bibliothèque nationale de France / BNU Strasbourg;900;1400
node;imprimeur_lithographe;0;24194;24194;und;0;4244;"";Univers illustré, 1864.;480;640
node;imprimeur_lithographe;0;24195;24195;und;0;3205;"";"";1672;2555
node;imprimeur_lithographe;0;24275;24275;und;0;617;"";[A. N.];1079;1685
node;imprimeur_lithographe;0;24287;24287;und;0;1138;"";Gallica, BNU Strasbourg.;784;1180
node;imprimeur_lithographe;0;24289;24289;und;0;1127;"";Gallica, Bibliothèque nationale de France;1536;907
node;imprimeur_lithographe;0;24294;24294;und;0;228;"";Gallica, Bibliothèque nationale de France;1408;1003
node;imprimeur_lithographe;0;24301;24301;und;0;229;"";Institut national d'histoire de l'art;715;899
node;imprimeur_lithographe;0;24302;24302;und;0;1247;"";Gallica, Bibliothèque nationale de France / BNU Strasbourg;978;1464
node;imprimeur_lithographe;0;24317;24317;und;0;1212;"";Gallica, Bibliothèque nationale de France / BNU Strasbourg;1093;1054
node;imprimeur_lithographe;0;24321;24321;und;0;788;"";Gallica, Bibliothèque nationale de France;1511;1054
node;imprimeur_lithographe;0;24323;24323;und;0;3095;"";Affichette publicitaire. [Mucem];562;709
node;imprimeur_lithographe;0;24332;24332;und;0;1252;"";Gallica, Bibliothèque nationale de France;1519;1054
node;imprimeur_lithographe;0;24374;24374;und;0;3199;"";A. N. F/18/1966;3284;2282
node;imprimeur_lithographe;0;24411;24411;und;0;2349;"";Archives INPI;1790;1400
node;imprimeur_lithographe;0;24495;24495;und;0;1615;"";Bibliothèques-Médiathèques de Metz;1024;576
node;imprimeur_lithographe;0;24543;24543;und;0;4097;"";En-tête de lettre [A. N., F/18/2005] dossier Salomon;2305;933
node;imprimeur_lithographe;0;24548;24548;und;0;4094;"";En-tête de prospectus, A. N. F/18/2005;1218;773
node;imprimeur_lithographe;0;24557;24557;und;0;3197;"";A. N. F/18/2005;3177;2302
node;imprimeur_lithographe;0;24561;24561;und;0;3200;"";A. N. F/18/2042;1330;1863
node;imprimeur_lithographe;0;24573;24573;und;0;820;"";AN, F/18/2042;2162;1900
node;imprimeur_lithographe;0;24593;24593;und;0;801;"";Gallica, Bibliothèque nationale de France;1024;1508
node;imprimeur_lithographe;0;24609;24609;und;0;959;"";Lettre de voiture, 1853. [Coll. particulière];505;315
node;imprimeur_lithographe;0;24641;24641;und;0;3195;"";A. N. F/18/1935;1841;2597
node;imprimeur_lithographe;0;24700;24700;und;0;638;"";Arch. nat.;3200;2368
node;imprimeur_lithographe;0;24832;24832;und;0;3823;"";En-tête de facture, 1838. [Coll. J.-F. Seguin];890;338
node;imprimeur_lithographe;0;24864;24864;und;0;653;"";Gallica, Bibliothèque nationale de France;1175;779
node;imprimeur_lithographe;0;24928;24928;und;0;641;"";Arch. nat.;1874;2203
node;imprimeur_lithographe;0;24942;24942;und;0;639;"";Arch. nat.;1566;1505
node;imprimeur_lithographe;0;24950;24950;und;0;640;"";Arch. nat.;2526;647
node;imprimeur_lithographe;0;25003;25003;und;0;637;"";Arch. nat.;794;1702
node;imprimeur_lithographe;0;25102;25102;und;0;624;"";Arch. nat.;1177;2355
node;imprimeur_lithographe;0;25136;25136;und;0;620;"";Arch. nat.;1614;978
node;imprimeur_lithographe;0;25137;25137;und;0;1070;"";BMVR Châlons-en-Champagne;966;1269
node;imprimeur_lithographe;0;25147;25147;und;0;4153;"";Les armées d'Orient, 4e de couverture [Gallica];360;625
node;imprimeur_lithographe;0;25162;25162;und;0;635;"";Arch. nat.;736;3117
node;imprimeur_lithographe;0;25166;25166;und;0;4233;"";Carte  [Coll. privée];1388;946
node;imprimeur_lithographe;0;25179;25179;und;0;885;"";Coll.particulière;924;832
node;imprimeur_lithographe;0;25188;25188;und;0;622;"";Arch. nat.;878;684
node;imprimeur_lithographe;0;25221;25221;und;0;628;"";Arch. nat.;2011;1547
node;imprimeur_lithographe;0;25244;25244;und;0;3924;"";Carte professionnelle  [Coll. particulière];1847;1336
node;imprimeur_lithographe;0;25253;25253;und;0;3078;"";En-tête de lettre, 1834. [A. N. F/18/2074B];3014;911
node;imprimeur_lithographe;0;25255;25255;und;0;3077;"";A. N. F/18/2074B;1789;2993
node;imprimeur_lithographe;0;25292;25292;und;0;626;"";Arch. nat.;874;2223
node;imprimeur_lithographe;0;25309;25309;und;0;636;"";Arch. Nat.;2342;2342
node;imprimeur_lithographe;0;25319;25319;und;0;2681;"";"";1675;442
node;imprimeur_lithographe;0;25324;25324;und;0;621;"";Arch. nat.;1959;1738
node;imprimeur_lithographe;0;25326;25326;und;0;623;"";Arch. nat.;846;709
node;imprimeur_lithographe;0;25368;25368;und;0;929;"";Carte publicitaire. Coll.particulière.;2083;1462
node;imprimeur_lithographe;0;25405;25405;und;0;619;"";Arch. nat.;2144;2673
node;imprimeur_lithographe;0;25413;25413;und;0;633;"";Arch. nat.;1510;825
node;imprimeur_lithographe;0;25483;25483;und;0;625;"";Arch. nat.;1268;2190
node;imprimeur_lithographe;0;25523;25523;und;0;634;"";Arch. nat.;535;2208
node;imprimeur_lithographe;0;25526;25526;und;0;905;"";Gallica, Bibliothèque nationale de France;1024;1394
node;imprimeur_lithographe;0;25538;25538;und;0;819;"";A. N.,F/18/1929;3170;2269
node;imprimeur_lithographe;0;25581;25581;und;0;642;"";Arch. nat.;1027;680
node;imprimeur_lithographe;0;25602;25602;und;0;4341;"";En-tête  [A. N.];1382;963
node;imprimeur_lithographe;0;25640;25640;und;0;618;"";Arch. nat.;1275;881
