entity_type;bundle;deleted;entity_id;revision_id;language;delta;field_parrains_nid
node;imprimeur_lithographe;0;22650;22650;und;0;22115
node;imprimeur_lithographe;0;22650;22650;und;1;22825
node;imprimeur_lithographe;0;22650;22650;und;2;21558
node;imprimeur_lithographe;0;22650;22650;und;3;22269
node;imprimeur_lithographe;0;22651;22651;und;0;23116
node;imprimeur_lithographe;0;22651;22651;und;1;23214
node;imprimeur_lithographe;0;22651;22651;und;2;22079
node;imprimeur_lithographe;0;22652;22652;und;0;24111
node;imprimeur_lithographe;0;22652;22652;und;1;22302
node;imprimeur_lithographe;0;22652;22652;und;2;21586
node;imprimeur_lithographe;0;22653;22653;und;0;22125
node;imprimeur_lithographe;0;22653;22653;und;1;21875
node;imprimeur_lithographe;0;22653;22653;und;2;22726
node;imprimeur_lithographe;0;22654;22654;und;0;21558
node;imprimeur_lithographe;0;22654;22654;und;1;22965
node;imprimeur_lithographe;0;22654;22654;und;2;23085
node;imprimeur_lithographe;0;22655;22655;und;0;21866
node;imprimeur_lithographe;0;22655;22655;und;1;22022
node;imprimeur_lithographe;0;22655;22655;und;2;22089
node;imprimeur_lithographe;0;22655;22655;und;3;27101
node;imprimeur_lithographe;0;22656;22656;und;0;23127
node;imprimeur_lithographe;0;22656;22656;und;1;22978
node;imprimeur_lithographe;0;22656;22656;und;2;22302
node;imprimeur_lithographe;0;22657;22657;und;0;21605
node;imprimeur_lithographe;0;22657;22657;und;1;23064
node;imprimeur_lithographe;0;22657;22657;und;2;27136
node;imprimeur_lithographe;0;22658;22658;und;0;22287
node;imprimeur_lithographe;0;22658;22658;und;1;22039
node;imprimeur_lithographe;0;22658;22658;und;2;22734
node;imprimeur_lithographe;0;22659;22659;und;0;24111
node;imprimeur_lithographe;0;22659;22659;und;1;23779
node;imprimeur_lithographe;0;22659;22659;und;2;22285
node;imprimeur_lithographe;0;22659;22659;und;3;27096
node;imprimeur_lithographe;0;22660;22660;und;0;27096
node;imprimeur_lithographe;0;22660;22660;und;1;22079
node;imprimeur_lithographe;0;22660;22660;und;2;22768
node;imprimeur_lithographe;0;22661;22661;und;0;22196
node;imprimeur_lithographe;0;22661;22661;und;1;21993
node;imprimeur_lithographe;0;22661;22661;und;2;22230
node;imprimeur_lithographe;0;22663;22663;und;0;21980
node;imprimeur_lithographe;0;22663;22663;und;1;22115
node;imprimeur_lithographe;0;22663;22663;und;2;21583
node;imprimeur_lithographe;0;22664;22664;und;0;22768
node;imprimeur_lithographe;0;22664;22664;und;1;22173
